date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:52:10	276530/276530	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2009:08:48%20GMT	https://en.wikipedia.org/wiki/Portal:Contents/Portals	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Portal_Contents/Portals.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:10	147856/147856	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2009:36:07%20GMT	https://en.wikipedia.org/wiki/Sarcoscypha_coccinea	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Sarcoscypha_coccinea.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:10	33278/33278	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202016%2015:34:26%20GMT	https://en.wikipedia.org/wiki/Sarcoscyphaceae	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Sarcoscyphaceae.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:11	598516/598516	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Mar%202016%2023:37:26%20GMT	https://en.wikipedia.org/wiki/Fungus	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Fungus.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:11	33319/33319	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202016%2015:34:26%20GMT	https://en.wikipedia.org/wiki/Pezizales	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Pezizales.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:11	64371/64371	---M-Z	200	added ('OK')	text/html	date:Thu,%2003%20Mar%202016%2005:12:05%20GMT	https://en.wikipedia.org/wiki/Northern_Hemisphere	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Northern_Hemisphere.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:11	29635/29635	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2009:34:08%20GMT	https://en.wikipedia.org/wiki/Forest_floor	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Forest_floor.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:12	38297/38297	---M-Z	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202016%2015:34:26%20GMT	https://en.wikipedia.org/wiki/Ascocarp	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Ascocarp.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:12	72928/72928	---M-Z	200	added ('OK')	text/html	date:Tue,%2001%20Mar%202016%2005:49:44%20GMT	https://en.wikipedia.org/wiki/Oneida_tribe	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Oneida_tribe.html	(from https://en.wikipedia.org/wiki/Main_Page)
10:52:12	63526/63526	---M-Z	200	added ('OK')	text/html	date:Mon,%2014%20Mar%202016%2006:07:21%20GMT	https://en.wikipedia.org/wiki/Imperfect_fungi	/Users/imben/Code/Wikipedia_Brief/en.wikipedia.org/wiki/Imperfect_fungi.html	(from https://en.wikipedia.org/wiki/Main_Page)
